t	w1	w2	theta1	theta2
309	2.39067	2.45946	0.275329	0.716559
310	2.39317	2.462	0.276311	0.717387
311	2.3965	2.46474	0.277356	0.71912
312	2.39566	2.46676	0.276665	0.717459
313	2.39052	2.46097	0.282039	0.728282
314	2.38649	2.45949	0.281521	0.731319
315	2.391	2.46461	0.285434	0.73435
316	2.39348	2.46256	0.281958	0.733875
317	2.39393	2.46054	0.281512	0.734804
318	2.39876	2.46022	0.275756	0.734483
319	2.40275	2.46183	0.274696	0.735564
320	2.40619	2.4675	0.279198	0.737478
321	2.40707	2.47561	0.281467	0.732552
322	2.41171	2.4784	0.281942	0.735273
323	2.4085	2.47575	0.283192	0.739388
324	2.41054	2.47676	0.282931	0.739394
325	2.41667	2.48075	0.284502	0.74489
326	2.42201	2.48202	0.2812	0.746402
327	2.43033	2.48434	0.275776	0.751661
328	2.43247	2.49041	0.279598	0.751146
329	2.42942	2.48725	0.281304	0.755928
330	2.42942	2.48812	0.281303	0.755255
331	2.42421	2.48217	0.287363	0.768425
332	2.42755	2.48847	0.292176	0.7679
333	2.42822	2.48543	0.291187	0.76962
334	2.43027	2.48612	0.290344	0.769406
335	2.43213	2.48821	0.290609	0.768534
336	2.43391	2.48528	0.287657	0.768854
337	2.43615	2.4837	0.28487	0.768866
338	2.44135	2.49081	0.292286	0.774062
339	2.44316	2.48915	0.29	0.774344
340	2.4431	2.48418	0.290132	0.777242
341	2.44981	2.48926	0.292286	0.783623
342	2.45146	2.4899	0.291502	0.783346
343	2.45571	2.49385	0.292763	0.784894
344	2.4604	2.50423	0.304681	0.790003
345	2.46156	2.50348	0.303517	0.790407
346	2.46674	2.50983	0.308234	0.794583
347	2.46893	2.51495	0.310214	0.792495
348	2.47162	2.51601	0.308555	0.792466
349	2.47661	2.51725	0.304102	0.793507
350	2.4762	2.51636	0.304383	0.794368
351	2.48214	2.51961	0.302949	0.798051
352	2.48547	2.52751	0.309173	0.798977
353	2.48348	2.52615	0.31033	0.801037
354	2.48344	2.52539	0.310362	0.801727
355	2.49209	2.53081	0.311628	0.812624
356	2.49598	2.53231	0.309299	0.813066
357	2.49762	2.53482	0.309574	0.81179
358	2.49626	2.52785	0.313311	0.818714
359	2.49995	2.52886	0.310181	0.818906
360	2.5082	2.53395	0.310565	0.827893
361	2.51367	2.538	0.310913	0.830767
362	2.51661	2.53896	0.308958	0.830684
363	2.52358	2.5446	0.312462	0.837957
364	2.52926	2.54553	0.306364	0.838799
365	2.53536	2.5503	0.308663	0.843594
366	2.54358	2.56013	0.324863	0.861111
367	2.54958	2.5658	0.327797	0.86515
368	2.55285	2.56991	0.328714	0.864081
369	2.55466	2.57104	0.327696	0.863346
370	2.55401	2.57336	0.327512	0.859783
371	2.56062	2.57496	0.320947	0.861683
372	2.56331	2.57916	0.322567	0.860641
373	2.57242	2.58069	0.311844	0.86404
374	2.57955	2.58829	0.322468	0.875443
375	2.58874	2.59751	0.338603	0.895611
376	2.59769	2.60478	0.346018	0.908663
377	2.59833	2.6083	0.346255	0.903742
378	2.60437	2.60921	0.338679	0.904402
379	2.60434	2.60916	0.338695	0.904467
380	2.606	2.61361	0.339914	0.900673
381	2.609	2.61766	0.341239	0.899603
382	2.61056	2.61994	0.341252	0.897981
383	2.61592	2.62414	0.34261	0.901011
384	2.61301	2.62562	0.341407	0.897686
385	2.61237	2.63257	0.340073	0.888028
386	2.61649	2.63994	0.347343	0.891988
387	2.61534	2.63693	0.34891	0.895936
388	2.62032	2.63778	0.344628	0.896548
389	2.62515	2.64426	0.35094	0.901268
390	2.62951	2.64231	0.343093	0.900096
391	2.62985	2.6444	0.3432	0.898264
392	2.63237	2.64946	0.346057	0.898087
393	2.63874	2.65396	0.349266	0.904505
394	2.64211	2.65344	0.345751	0.90434
395	2.64581	2.65577	0.345802	0.905385
396	2.64703	2.65565	0.345124	0.905433
397	2.64493	2.65589	0.34502	0.905052
398	2.64764	2.65908	0.346338	0.905401
399	2.64702	2.65652	0.34706	0.907901
400	2.65223	2.66028	0.348995	0.911697
401	2.64795	2.65739	0.352339	0.918503
402	2.65212	2.65818	0.349384	0.918849
403	2.66121	2.65857	0.337535	0.919752
404	2.66788	2.66025	0.334936	0.922316
405	2.67453	2.66129	0.331127	0.923953
406	2.67792	2.66676	0.336113	0.926403
407	2.68339	2.67198	0.342355	0.932805
408	2.68574	2.67143	0.340618	0.932797
409	2.69134	2.66957	0.331813	0.930394
410	2.69462	2.67144	0.332421	0.931324
411	2.69816	2.67904	0.34055	0.93697
412	2.6952	2.68264	0.336048	0.930464
413	2.69216	2.6814	0.336231	0.932611
414	2.69478	2.68054	0.334484	0.932399
415	2.69735	2.6819	0.334916	0.932733
416	2.69789	2.68858	0.336193	0.930194
417	2.69946	2.69042	0.337027	0.930131
418	2.69898	2.68734	0.337515	0.93225
419	2.70019	2.6896	0.338336	0.931823
420	2.69859	2.68856	0.338597	0.933042
421	2.69481	2.69004	0.334635	0.930033
422	2.69561	2.69053	0.334791	0.929857
423	2.69515	2.69049	0.334717	0.929887
424	2.69696	2.69514	0.337632	0.930164
425	2.69891	2.70034	0.34114	0.930953
426	2.69687	2.70273	0.338581	0.927724
427	2.70129	2.70397	0.339321	0.929036
428	2.70443	2.70233	0.336861	0.927981
429	2.70468	2.70256	0.336925	0.927896
430	2.7082	2.70335	0.337239	0.928554
431	2.70854	2.70101	0.336995	0.929165
432	2.70927	2.70371	0.337768	0.928744
433	2.71286	2.70308	0.3361	0.928162
434	2.71259	2.69783	0.336566	0.929805
435	2.71278	2.69475	0.336362	0.930577
436	2.71288	2.69387	0.336334	0.930882
437	2.71082	2.69052	0.338208	0.934504
438	2.70944	2.68469	0.340945	0.939314
439	2.71077	2.68666	0.341477	0.939053
440	2.71183	2.68991	0.342451	0.938407
441	2.71733	2.69452	0.348017	0.945409
442	2.71771	2.69647	0.348195	0.944458
443	2.72024	2.69653	0.347058	0.944478
444	2.72386	2.6982	0.347254	0.945775
445	2.7297	2.70538	0.358728	0.958764
446	2.72742	2.70733	0.357174	0.955753
447	2.72864	2.7117	0.358672	0.954927
448	2.72814	2.70942	0.359166	0.956764
449	2.72906	2.71301	0.360052	0.955592
450	2.72536	2.71232	0.360048	0.956974
451	2.7245	2.71392	0.359643	0.955286
452	2.72682	2.71433	0.358959	0.955342
453	2.72825	2.71547	0.359079	0.955158
454	2.72956	2.72545	0.363535	0.957123
455	2.73248	2.72384	0.360511	0.956468
456	2.7357	2.7248	0.360253	0.957015
457	2.73736	2.72932	0.362593	0.957481
458	2.73723	2.72689	0.362721	0.95895
459	2.74202	2.72803	0.361894	0.960305
460	2.74528	2.73284	0.366333	0.963904
461	2.74926	2.73299	0.364404	0.964039
462	2.75375	2.73331	0.362423	0.964403
463	2.75266	2.73031	0.363583	0.966941
464	2.75179	2.73197	0.363093	0.96553
465	2.75577	2.73285	0.362361	0.966377
466	2.75527	2.72817	0.363252	0.969168
467	2.75772	2.72613	0.360299	0.968398
468	2.75657	2.72655	0.360165	0.968012
469	2.75403	2.72973	0.356847	0.963565
470	2.75226	2.73371	0.35396	0.959434
471	2.75763	2.73593	0.356229	0.963092
472	2.75649	2.73865	0.35487	0.960985
473	2.7615	2.74245	0.360376	0.967067
474	2.75967	2.74156	0.360492	0.968031
475	2.75975	2.74067	0.36047	0.968415
476	2.76428	2.74076	0.358796	0.968529
477	2.76663	2.74412	0.361321	0.97036
478	2.76603	2.74396	0.361296	0.970461
479	2.76747	2.74908	0.363902	0.971821
480	2.7694	2.74526	0.360869	0.970556
481	2.76956	2.74483	0.360849	0.970687
482	2.77366	2.7428	0.356298	0.968313
483	2.77433	2.74331	0.356436	0.968311
484	2.77899	2.74187	0.352303	0.96615
485	2.78378	2.74078	0.348865	0.964337
486	2.78563	2.74083	0.348861	0.964368
487	2.78643	2.73969	0.34858	0.964027
488	2.78694	2.73941	0.348572	0.963968
489	2.79137	2.73912	0.346923	0.963482
490	2.79195	2.7454	0.348332	0.966712
491	2.79153	2.73974	0.349116	0.966838
492	2.79233	2.74076	0.349446	0.967193
493	2.79023	2.74242	0.347431	0.966002
494	2.78659	2.73894	0.349868	0.970437
495	2.78924	2.73889	0.349418	0.97039
496	2.78993	2.74228	0.350315	0.971252
497	2.78874	2.74312	0.349639	0.970827
