Mat1	Mat2	Mat3	Pat1	Pat2	Pat3	w0	theta0	d	q	p	w	R	theta	a	payoff	delta	elig	ztheta	gnum	inum	female	SubPop	Alive
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.06207	1.91937	0.436772	0.500484	1.91606	-0.148646	22.7763	22.7763	49	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.02856	2.11227	0.474258	0.365889	1.79553	0.087194	-46.598	-46.598	49	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.74867	2.76654	0.334702	0.280996	2.37914	0.0186086	-21.8071	-21.8071	50	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.68412	2.63311	0.966899	0.952787	2.4203	-0.0531401	-5.41485	-5.41485	50	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.93166	1.90813	0.440181	0.441781	1.76731	-0.0245071	0.627495	0.627495	51	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.01375	2.01874	0.395262	0.362908	1.78312	0.00519173	-12.9954	-12.9954	51	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.26784	3.23475	0.924845	0.935321	2.60599	-0.0344648	4.07802	4.07802	52	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.34968	3.38333	0.832769	0.760045	2.65987	0.0350573	-29.929	-29.929	52	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.03822	2.0612	0.391011	0.390204	1.94208	0.023938	-0.329113	-0.329113	53	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.91863	1.95445	0.461757	0.464979	1.77151	0.0373101	1.32839	1.32839	53	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.99025	1.98118	0.490192	0.559612	1.80668	-0.00944769	27.5597	27.5597	54	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.09426	2.20965	0.425029	0.40551	1.92216	0.120199	-8.63852	-8.63852	54	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.96921	1.95561	0.489866	0.519627	1.79758	-0.0141695	11.7708	11.7708	55	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.12729	2.14613	0.391193	0.388605	1.99754	0.0196278	-1.05171	-1.05171	55	2	1	0	1
